"filename", "language", "TypeScript", "JSON", "HTML", "JSON with Comments", "JavaScript", "XML", "Markdown", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Ваня\self-employment-front\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Ваня\self-employment-front\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 9, 31
"c:\Users\Ваня\self-employment-front\index.html", "HTML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Ваня\self-employment-front\package-lock.json", "JSON", 0, 4106, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4107
"c:\Users\Ваня\self-employment-front\package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Ваня\self-employment-front\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Ваня\self-employment-front\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 3, 35
"c:\Users\Ваня\self-employment-front\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Ваня\self-employment-front\src\components\asidePage\aside.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 4, 46
"c:\Users\Ваня\self-employment-front\src\components\customerPage\customers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 11, 85
"c:\Users\Ваня\self-employment-front\src\components\customerPage\customersTypes\individualPerson.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 41
"c:\Users\Ваня\self-employment-front\src\components\customerPage\customersTypes\naturalPerson.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 4, 40
"c:\Users\Ваня\self-employment-front\src\components\customerPage\customersTypes\societyPerson.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
"c:\Users\Ваня\self-employment-front\src\components\dealPage\deal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 4, 45
"c:\Users\Ваня\self-employment-front\src\components\dealPage\dealOptions\addDeal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 6, 92
"c:\Users\Ваня\self-employment-front\src\components\documentPage\documents.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\Ваня\self-employment-front\src\components\headerPage\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 2, 42
"c:\Users\Ваня\self-employment-front\src\components\paymentPage\paymentOptions\addPayments.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 6, 86
"c:\Users\Ваня\self-employment-front\src\components\paymentPage\payments.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"c:\Users\Ваня\self-employment-front\src\components\profilePage\profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 9, 92
"c:\Users\Ваня\self-employment-front\src\components\profilePage\profileData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 39
